,date_id,iid,match,wave,field_cd,age,race,income,zipcode,samerace,goal,from,gender,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,imprace,imprelig,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,zipcode_area,latitude,longitude,var_undergrad,var_budget,var_diff_mc,var_mag,var_book,sports_person,creative_person,is_sporty,is_creative
0,1-4-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
1,1-3-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
2,1-10-10-7,1,1,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,1,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
3,1-5-10-7,1,1,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
4,1-7-10-7,1,1,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
5,1-6-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
6,1-1-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
7,1-2-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
8,1-8-10-7,1,1,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
9,1-9-10-7,1,0,1,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,0,0.0,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.8888888888888888,0.1,0.1,0.5,0.07142857142857142,0.5,0.4166666666666667,0.8888888888888888,0.1,1.0,1.0,0.8888888888888888,0.7777777777777778,0.1,0.2222222222222222,0.15,0.3333333333333333,0.4,0.3,0.2830188679245283,0.2,0.3333333333333333,0.5,0.75,0.7142857142857143,0.75,0.625,6,41.79679730177778,-87.93476914684445,0,0,0,0,0,0.5925925925925926,0.6177777777777778,0,0
